modifier,term,beta,se,p,ci_lo,ci_hi,n_obs
telomere_short(0/1),copd×telomere,-0.5268113912110224,0.2776684346904921,0.05780303454774649,-1.071041523204387,0.01741874078234218,30809
telomere_log(cont),copd×telomere,0.5522020573961224,0.4465108111528399,0.21620723406438658,-0.3229591324634439,1.4273632472556885,30809
