cut,term,beta,se,p,ci_lo,ci_hi,n_obs,n_ent,MDbeta80
age<59,copd×age×pace,-0.01660647709490503,0.18833404430841352,0.9297373067686896,-0.38574120393939554,0.35252824974958547,83443,9151,0.5276338335237868
age<59,copd,0.041578518110754976,0.34828655556762644,0.9049744713327952,-0.6410631308017929,0.7242201670233028,83443,9151,
age<59,c_ag,0.6598405497630887,0.41893598999099796,0.11525168689220444,-0.16127399061926728,1.4809550901454447,83443,9151,
age<59,c_pa,-0.24382524951450696,0.1368707192213138,0.07484674030588057,-0.5120918591882819,0.024441360159268066,83443,9151,
median-split,copd×age×pace,0.052280987545268665,0.19834101316951316,0.792095508693281,-0.33646739826697714,0.44102937335751446,83443,9151,0.5556692073805106
median-split,copd,0.17033594203250133,0.4210221761133703,0.6857895400413945,-0.6548675231497044,0.9955394072147071,83443,9151,
median-split,c_ag,0.4263866810185487,0.4764753782617052,0.3708559403399092,-0.5075050603743935,1.3602784224114908,83443,9151,
median-split,c_pa,-0.3060507070542854,0.1581576634529674,0.052981962483348743,-0.6160397274221014,0.0039383133135306725,83443,9151,
