age_group,pathway,indirect,ci_lo,ci_hi,p,n
younger(<59),JOINT(all 3),-0.03330886263887802,-0.1440045018212447,0.056256523101920614,0.504,1440
younger(<59),NfL(log),-0.007621005431531511,-0.08234417735193422,0.059261990084283934,0.848,1440
younger(<59),pTau181(log),-0.0012160368894477214,-0.02512523395867098,0.03154714419044831,0.97,1440
younger(<59),Homocysteine,-0.02447182031789879,-0.10057196487164603,0.012390482576591708,0.277,1440
older(>=59),JOINT(all 3),-0.13121820278840524,-0.25544466967395235,-0.01973598416604163,0.018,1028
older(>=59),NfL(log),-0.08378260489840947,-0.19258684696781372,-0.00997642795685751,0.017,1028
older(>=59),pTau181(log),-0.05930194624288024,-0.14130716273936397,-0.0010286326429027996,0.046,1028
older(>=59),Homocysteine,0.011866348352884472,-0.05255851424095184,0.09113200712642124,0.708,1028
